author,edition_year,name,price,publisher,ratings
[美] 卡森·麦卡勒斯,Aug-05,心是孤独的猎手,25.00元,上海三联书店,8.5
[奥] 卡夫卡,Apr-03,变形记,16.00元,浙江文艺出版社,8.4
[美]莉兹?克里莫,Aug-15,你今天真好看,39.00元,雅众文化/天津人民出版社,8.7
[日] 原研哉,Nov-06,设计中的设计,48.00元,山东人民出版社,8.6
[日] 村上春树,2013/10/1,没有色彩的多崎作和他的巡礼之年,39.50元,南海出版公司,8.2
林奕含,Jan-18,房思琪的初恋乐园,45.00元,北京联合出版公司,9.2
幾米,2000/2/1,月亮忘記了,NT$ 299,格林,8.6
江南,Jan-04,此间的少年,25.00元,华文出版社,8.4
蒋勋,2009/10/1,孤独六讲,36.00元,广西师范大学出版社,8.1
【英】蕾秋·乔伊斯,2013/9/1,一个人的朝圣,32.8,北京联合出版公司,8.1
鲁迅,Jul-03,阿Q正传,14.50元,上海书店出版社,8.7
纳训,Jan-03,一千零一夜,22,人民文学出版社,8.6
桐华,Sep-07,云中歌1,24.80元,作家出版社,8.1
白先勇,Oct-10,台北人,38.00元,广西师范大学出版社,8.9
匪我思存,Sep-06,来不及说我爱你,20.00元,新世界出版社,8.1
[美] 米奇·阿尔博姆,Jul-07,相约星期二,19.00元,上海译文出版社,8.4
三毛,Aug-03,万水千山走遍,13.8,哈尔滨出版社,8.8
七堇年,Jan-07,大地之灯,22.00元,长江文艺出版社,8.2
笛安,2010/7/1,东霓,26.80元,长江文艺出版社,8.1
王安忆,Aug-03,长恨歌,22.00元,南海出版公司,8.2
约翰·赫斯特（John Hirst）,2011/11/25,你一定爱读的极简欧洲史,25.00元,广西师范大学出版社,8.2
[英] 史蒂芬·霍金,Apr-10,时间简史,45.00元,湖南科学技术出版社,8.8
沧月,Oct-06,七夜雪,25.00元,北京十月文艺出版社,8.4
九把刀,Jan-07,那些年，我们一起追的女孩,20.00元,花山文艺出版社,8.2
[日] 乙一,Oct-07,ZOO,20.00元,当代世界出版社,8.6
安妮宝贝,Aug-02,蔷薇岛屿,18.00元,作家出版社,8
hans,Jan-09,阿狸·梦之城堡,36.80元,上海锦绣文章出版社,9
杨绛,Jul-03,我们仨,18.80元,生活·读书·新知三联书店,8.7
[英] J. K. 罗琳,Sep-00,哈利·波特与魔法石,19.50元,人民文学出版社,9
高铭,Feb-10,天才在左 疯子在右,29.80元,武汉大学出版社,8.2
[英] 奥斯丁,Jul-93,傲慢与偏见,13.00元,人民文学出版社,8.8
